locations,weights
21.39347083709229,1.2806206777904614e-14
19.873910921713126,1.3511469971061553e-13
19.87325760907285,4.629795655000295e-15
19.36186606802849,6.939660263792968e-13
19.36016287894764,1.1374513420248646e-13
18.88199433359914,1.314182705338981e-13
18.72913817595098,1.7185942869589122e-15
18.68171417874075,5.764351255078932e-16
18.66332946800783,4.275843941258973e-15
18.605151943197466,1.5186976517887966e-15
18.587926245789024,1.021944316368013e-14
18.53008488801012,9.481378036396207e-16
18.47394523627705,1.2735653104263088e-14
18.443385553163374,2.2555038131632397e-15
18.386941524745627,1.323526398930048e-14
18.343548038056625,1.7852691907425947e-15
18.26790880918597,2.0254127632850437e-14
18.236609856720886,5.45301485244182e-15
18.17675156176501,1.596171420345156e-14
18.109541518125624,2.728831580014075e-15
18.05104546989846,2.0415972986892037e-14
17.95275520222859,1.1776217531005178e-13
17.947678475389356,1.5590992224071574e-14
17.914947225605296,1.4910528307278213e-14
17.797426770549674,2.8977454023265576e-14
17.704390757563925,1.580938208282511e-13
17.6975258956938,1.1807545848656732e-11
17.6817163526961,4.6623643133174925e-14
17.555448511150296,2.859345552493685e-14
17.485925239206544,3.508936156618325e-15
17.383041056782275,4.8968431560404424e-14
17.316115972483257,1.212323596261195e-14
17.25004638596264,7.713552748579972e-14
17.159810264547566,6.454285750453527e-14
17.095051780527253,2.4590613749555643e-13
16.999213075712493,1.6892809592803435e-12
16.991685079413173,1.2711482039085592e-11
16.926445894415046,2.621670097850645e-13
16.800635103564893,5.768545435947747e-13
16.74149810953217,1.0174119201772697e-13
16.677207717129996,1.947811479427547e-12
16.60004282432317,1.2192715784505122e-13
16.544603464175903,1.26874927623799e-12
16.448074086517956,1.0623365884518328e-13
16.396232949441984,8.8151925701731e-13
16.28561477214418,1.64013702830043e-13
16.235466189713826,6.54180933345323e-13
16.11484082584139,2.0498508053964788e-13
16.06538453671576,6.557490717111623e-13
15.91942916194823,1.4814206321034395e-12
15.91704737330636,2.3461774030274754e-11
15.769489731749646,2.0378521157757696e-13
15.66573573480894,5.487646460153085e-11
15.659942851376815,5.913313183723362e-13
15.591153464377925,9.78368060582177e-13
15.359910614878885,1.3685012745270118e-12
15.334797326280444,1.8418043731513707e-12
15.2777608287734,1.1524428563415144e-12
15.13110404515931,2.3615440608234713e-12
15.063587345344045,1.296902271333028e-12
14.96699392337792,6.53944817624749e-11
14.949497971940765,2.5025733245309075e-11
14.83483825084925,7.654841992636208e-12
14.712665446382594,2.425661324843235e-11
14.67545331014786,1.3330199669427228e-11
14.53270051749796,6.469892777380088e-13
14.48963305212753,6.9036709682109325e-12
14.32251977673481,4.099378021489217e-12
14.311210943386746,5.959260970558647e-12
14.14888791143456,4.115979301521735e-12
14.11962780622443,2.67360910711507e-12
13.969485400787915,2.8381587765302423e-12
13.90395162174025,3.1004971982226174e-12
13.773475069000275,1.2130019370631984e-10
13.76765785870424,3.85789199862142e-12
13.565066116532854,2.4392379965032463e-12
13.507391898456655,3.67173617592961e-12
13.32101586324438,1.132876085730572e-11
13.29708679290153,2.76211285479034e-11
13.15577110596201,6.753322969775515e-12
13.1177398527688,9.508914265884175e-12
12.935738253387536,1.4668207558946692e-11
12.91657058148629,1.3972053816868697e-11
12.77735602707125,2.1063071330397522e-10
12.753210480786954,2.55822500557582e-12
12.575311229890804,1.5567905709857673e-11
12.531179643359694,1.1060525693722045e-11
12.35462285453274,9.847853772048895e-12
12.30406263328017,1.881261241777642e-11
12.147108717388704,6.12246099599277e-12
12.120940400273845,4.74886555245158e-11
11.94562064757103,3.329164398509395e-12
11.905862855037656,4.4540007526077576e-11
11.71907816663956,2.7217222938368e-12
11.67333050581196,6.778478204797603e-11
11.511014811150865,2.3069621391645077e-11
11.45566750893939,8.690609365928063e-11
11.284330645112615,1.2807927498128844e-11
11.205969129540685,2.888187164007375e-10
11.092103265584875,7.550285257043558e-11
11.00662913638837,2.94726570102611e-09
10.914235010029495,1.8375292108633014e-11
10.83284516995302,6.230204434140045e-09
10.697563758381785,2.9897694274016823e-12
10.649560364222545,9.911833172078602e-09
10.49410066788131,3.1959051620466627e-11
10.457337580961445,1.3862510378474647e-08
10.288075984445396,2.1551294861996198e-10
10.260978510678445,1.8372960425152722e-08
10.077682296922324,7.100025364038225e-10
10.061894011768466,2.5602001588555824e-08
9.887113933450674,9.400737490348653e-10
9.86925326167619,3.106548793251085e-08
9.674674116600515,2.81073012634584e-08
9.665778831199704,7.99948581796266e-09
9.46996114737689,3.84462003116911e-08
9.441154636219466,7.513341916503468e-10
9.266287812463785,3.712554543919502e-08
9.25592256454094,3.920633120152023e-09
9.064324833497494,6.468399803352837e-09
9.05760326394561,2.99872068577523e-08
8.85616803223309,2.528558549914565e-09
8.835058869509895,3.418924470667367e-08
8.64178826485458,8.31258446346003e-10
8.602866786518476,4.1877953150639226e-08
8.432921248195465,3.947152774537265e-11
8.325126483096085,4.06747513597945e-07
8.24210204032822,3.669681994015395e-09
8.147527178393435,2.4334430669941495e-06
8.03508804489862,1.6846902430357824e-08
7.97483324001302,7.999080242476247e-06
7.82792729454563,1.6377810348426367e-07
7.806478797089245,1.63508011688094e-05
7.63472847813256,1.8077626646332172e-05
7.63170074818659,7.670752371847908e-06
7.457214459740815,3.60271396361197e-05
7.41272939939931,2.7341986672169e-08
7.27862746154574,4.961738051421317e-05
7.205539055953665,6.830911708796713e-09
7.100781945123555,6.731213554385577e-05
6.999405551600255,8.595640833350967e-10
6.92367873599731,8.911531461082478e-05
6.80616931370752,6.041793518724272e-10
6.747002659232905,0.00011435780921651892
6.61094758565356,1.7249504589757128e-08
6.57110997944722,0.0001419922488657511
6.420200977827925,1.1372478190311485e-07
6.39631257577588,0.00016964832347471484
6.223900468195145,3.623391829643895e-05
6.2220984616681,0.00015641858021600078
6.04963100390558,0.0002085257586956844
6.03006794538558,3.306469315538305e-07
5.878253191916655,0.0002184444865989948
5.832201600282525,1.5367167167762363e-07
5.707238011764305,0.00022789488364666102
5.631464879334485,3.0153575541812474e-10
5.542478609774885,0.00022433054761360018
5.42867179070191,3.146648232931685e-07
5.37422357814636,0.00021241218032743214
5.24549838709178,1.0752210044837524e-06
5.20647036562626,0.00019810455231031895
5.045058642858705,4.496852198991745e-05
5.03810513720297,0.0001368902411991455
4.89235849361826,6.32410789670399e-06
4.873655686005016,0.0001563822521457181
4.720133320232443,2.2190996077687972e-05
4.709760198208991,0.00012018427000742198
4.5524411048982545,0.00010832470660523812
4.539601634377716,1.5784027654636647e-05
4.392756642833815,0.00010603358116605203
4.3495585908953895,1.9636620472417123e-06
4.236740090626759,8.86938734742367e-05
4.153862642407766,1.8916626898708838e-06
4.081849083901607,6.486353744885414e-05
4.003545207480281,2.858007830370465e-08
3.9415609171138417,3.640276156044557e-05
3.845766321347251,1.50215794889261e-07
3.784772172311042,1.3667803381254274e-05
3.6808069092665847,1.391123761766066e-07
3.6285093661763836,4.164824884312578e-06
3.504396505166947,1.7208610065147772e-08
3.445513897752187,5.398129245592312e-07
3.3138796605553016,4.253502494803372e-08
3.14251000138229,2.316714276556819e-06
3.13289199977972,4.7043792741833525e-07
2.960743722305416,9.815905999801237e-05
2.958000161469969,0.0017120307767028668
2.8742338875437463,0.002303569931999492
2.8708542868198177,0.005523863540819658
2.7755417123999906,0.0013416708853190293
2.7643082640585055,0.00953558612393588
2.686438083873448,0.0017761196736537995
2.673768974850489,0.01130176390631151
2.5662568176261766,0.00337519944149589
2.5564711334826784,0.016601542656286408
2.468038700676197,0.0014621221075578512
2.447344456280901,0.014927369097831164
2.355075224780381,0.0034555808312374575
2.342583687684333,0.02060958590014505
2.252911493500684,0.00139056828548799
2.227883144628552,0.017998561974244265
2.1456891702052867,0.00312252131845619
2.1301872235671877,0.023213959456096857
2.048633107234479,0.0013634326437649727
2.021902143418729,0.01812063483665606
1.9411432497944274,0.00361010258204775
1.927207923688011,0.024472392905156473
1.850015698227118,0.0014492725250129315
1.824553264755969,0.019010157539836623
1.751602867015059,0.0033200305552559275
1.738011486934474,0.022365026790286676
1.6624066520774294,0.0013388372097211702
1.6379433612221255,0.01870620963087635
1.572745402516221,0.004823376130673475
1.562557815894847,0.022036820085055094
1.493933771863029,0.0010265703501373027
1.470796580619492,0.013619556091172373
1.4052531601717755,0.0029760570859924773
1.3930447191200634,0.02217217074637711
1.3422162683976795,0.001208837533923682
1.3206543717610535,0.01503335349773171
1.274348122431349,0.0014063686019717403
1.2620860870653026,0.01137146174545025
1.199017169232618,0.0009615983868536535
1.1871846945040125,0.011723814074437768
1.1450227141716696,0.004306075781044568
1.1404140981043125,0.012455319406208323
1.1028345875290415,0.00026322857147066875
1.085548772195352,0.0037760963296170776
1.057428670329652,0.000372090092716568
1.05187883552398,0.0036270448677720576
1.020620014840861,0.00759548184040475
1.01898097900086,0.00017551347292374088
0.992381291338962,0.002134172745750905
0.991957999256805,0.00012037496995585932
0.985184886120659,1.2750984845792292e-06
0.455211602550096,2.3791997934554034e-15
0.42382258456144334,3.283898042831455e-15
0.3077350498562213,2.2803670969227125e-15
0.27435717372549895,1.3167598211122673e-14
0.2455234460687528,1.439176351931338e-14
0.11180925581947965,1.181505275819716e-13
0.1117683528255321,7.202358580398858e-16
0.0851131851241034,6.875652727766767e-12
0.08510844566681755,2.58999907455652e-13
0.07187336033278276,4.288562074515778e-14
0.05844281213777005,4.689582947932565e-13
0.05842746138678035,3.23030695514543e-10
0.0317762109852949,3.70204157398622e-11
0.03176208390049617,2.1435356218428506e-08
0.01311221721774743,1.945630166880391e-12
0.010296099238309585,8.272910815186313e-15
0.005136307441860445,2.889025367359635e-06
0.005107655175956915,2.1787969360266412e-08
0.00508463666138597,1.399197624184825e-05
4.812622063978513e-09,3.2003043256299795
-0.005085323592222085,1.4158349426129913e-05
-0.00510803246094339,2.1781422802250683e-08
-0.00513826395634574,2.720130973922345e-06
-0.010296662970620976,7.594327854308765e-15
-0.013265824806216835,1.8507056760284107e-12
-0.031762461499545126,2.142620330289335e-08
-0.03177658835089668,3.701903283297903e-11
-0.0584281310501739,3.2288852547611224e-10
-0.05844318999277305,4.90259296154588e-13
-0.07834967474787975,7.211293424135573e-14
-0.08510896535184025,7.16992533072907e-15
-0.0851355034472588,7.08397035133182e-12
-0.1118268242278373,1.1818227308913885e-13
-0.24556917801308276,1.453314406674451e-14
-0.27456071331479864,1.325250788814502e-14
-0.30831207403664357,2.2177267614857947e-15
-0.4244536093326976,3.4278788511338773e-15
-0.45637208698335596,2.2662475664593396e-15
-0.9779184181391075,1.1638758860283177e-07
-0.9918384497581425,3.432218553926733e-05
-0.99236114100268,0.0022214602515757123
-1.018898215288333,0.00013121298761588994
-1.020621596915344,0.007648829718726757
-1.0521318956603456,0.0036316022355814426
-1.056973483175538,0.0004172273640822462
-1.086201162704735,0.0037504950063305927
-1.1015858187334866,0.0002870517238593525
-1.140619854642555,0.011262975769503763
-1.144627835663304,0.005641865111494323
-1.1878670562190454,0.011454065627857784
-1.198141866009957,0.0011596806288694135
-1.263462271960328,0.01135986379998044
-1.273821425436349,0.0017902007190516763
-1.322547046858316,0.014697106635016584
-1.3412673659740164,0.0015079811873274474
-1.3941967596082365,0.021069082390619644
-1.4045365658198625,0.00408251517643873
-1.4731265684730066,0.013263589725619888
-1.492862179856244,0.0013343108877441178
-1.5640895963947614,0.019830905504713822
-1.572438623861997,0.007551642397485888
-1.640989805617578,0.01780631198598608
-1.66133194091394,0.0018953564767446305
-1.740351503406556,0.02063578888181889
-1.751161408752008,0.005489192523342392
-1.828418212748988,0.017993829413626823
-1.849107488617577,0.002252665872693188
-1.9297767889092285,0.02182041288892894
-1.940833391624998,0.00652500323341357
-2.026403103948136,0.016949158043178862
-2.0476824304410455,0.0023479283787874775
-2.1332334812212657,0.020350216970373626
-2.1453536438218683,0.006273953458654798
-2.23237506834102,0.016280622986695935
-2.2519428978768157,0.0027421450860618873
-2.345147130866228,0.01635001977564484
-2.3550984983673966,0.007840499095780553
-2.451722024684435,0.012800168913528278
-2.4674348719224364,0.0034558248061656773
-2.558314229434635,0.01129892622696151
-2.566655601668763,0.008397810389075427
-2.67675637595239,0.00806037078449181
-2.686657655881785,0.005236989348004013
-2.766083173953355,0.006215393306754715
-2.775276009741711,0.004106001286237505
-2.870358555751088,0.002365978993847023
-2.8742634369456384,0.005289760820638135
-2.958084386700707,0.0012124083837708817
-2.9596858440393783,0.0005726944540375025
-3.1368521781309227,7.738936085853698e-08
-3.166090760388835,1.7488230268188477e-06
-3.3133735191757085,3.447954467275435e-08
-3.471026051455295,6.873290419291098e-07
-3.5036400390384816,8.609156486996292e-09
-3.6419883914449844,4.5513475492652e-06
-3.6811103485062175,3.58511166027847e-07
-3.798358149137319,1.4677886108009265e-05
-3.8456917281585175,3.3056632181440023e-07
-3.9546116747456463,3.946411492808488e-05
-4.003585611097239,6.035117811649748e-08
-4.093858049095028,6.434286598753165e-05
-4.150604673673086,4.308826160094853e-06
-4.249666831292905,8.981233608004853e-05
-4.346633636098367,2.7107348399375325e-06
-4.406555192195387,0.00010730960737001825
-4.537344394074319,7.278935443300597e-06
-4.566680292936256,0.00011881598549209305
-4.713344825933751,2.7574468642441626e-05
-4.729019536271716,0.00011651334353622612
-4.883124298702486,8.379726086722913e-05
-4.8951508377322455,8.042439616996045e-05
-5.03909757180499,2.0608179843028585e-05
-5.05650030381027,0.0001630652996871862
-5.220522544049365,0.0001889854868634364
-5.24380373911466,1.2498462740529828e-05
-5.38990209126019,0.00021147749600816557
-5.42679806416898,3.6967328570766774e-06
-5.55976016605221,0.0002272079863436635
-5.631466755908705,1.138511198421771e-09
-5.724823461807595,0.00022546176540297967
-5.828868525014825,2.0146924845754384e-06
-5.896171546247315,0.00021618852035613744
-6.02744358839987,2.6168769818622576e-06
-6.06759666218241,0.0002046021135939668
-6.21943810416851,9.56666475605177e-06
-6.2410210928716,0.00018115219018682865
-6.41090065178332,0.00010951399932836353
-6.42034323643069,5.798256822789073e-05
-6.588630588162755,0.00013242091797165692
-6.60866327501254,7.132940860288335e-06
-6.76591322811764,0.0001105348418286157
-6.803360309071415,1.4182866626586403e-06
-6.94368434949124,8.632432112198885e-05
-6.996169060865045,5.66903386655139e-07
-7.121851735409785,6.50369921497867e-05
-7.20213176435489,2.057939185752153e-07
-7.30036914794549,4.77225800246902e-05
-7.40916080620646,1.1797053409933847e-07
-7.479251829356645,3.46219194092347e-05
-7.629382979739915,1.8417998732503034e-07
-7.65573714823231,2.440464539455808e-05
-7.82284772920708,1.825515484233607e-06
-7.828693342640915,1.3585079634619572e-05
-7.99609287397205,7.07371296765122e-06
-8.03070073308719,9.512384073944785e-09
-8.16988899307749,2.0348292412939866e-06
-8.23821039428571,3.051510982006605e-10
-8.349936957093796,2.97472910663842e-07
-8.429205255869155,2.343070565604919e-10
-8.63631504884118,2.2807347982940485e-09
-8.638699934461876,3.850619949459493e-08
-8.850472288914006,1.060489687587364e-11
-8.86731258978929,3.618446420419352e-08
-9.05896916565849,1.7534291322192163e-10
-9.088865126150015,3.7078807269503926e-08
-9.25261204471641,9.564801086165493e-12
-9.292960486353804,4.0853396997686925e-08
-9.43733642877001,4.23737108028554e-14
-9.4965207541859,3.874517152622605e-08
-9.66244647537097,9.716977350559077e-12
-9.699857243955885,3.590969258560425e-08
-9.881488221373004,5.391300350527955e-11
-9.897782749108275,3.142796553011932e-08
-10.072823864025155,5.4323062135882075e-12
-10.089543243883,2.4974251440579188e-08
-10.282437464278805,3.4920740126795527e-12
-10.28878021234511,1.785446653807624e-08
-10.484242584886024,1.2683394769159966e-08
-10.48938588589831,6.42725092245669e-10
-10.67630084266306,9.275150274322526e-09
-10.69158422985147,1.7494091838222064e-10
-10.858977739585875,5.61104415133931e-09
-10.909256829458185,1.2012529569984738e-10
-11.02767026725073,2.3720306266609252e-09
-11.08722195966807,1.2559866288897623e-10
-11.252412957168,1.6263829858055098e-10
-11.283864419736044,4.8873517154476376e-11
-11.5008779123618,7.48547999943953e-11
-11.520393017480165,2.57235776117189e-11
-11.683291330994875,3.94961845400839e-11
-11.74988522126039,2.5696692919465925e-11
-11.91437758782332,2.391262972583169e-11
-11.97541993284111,2.3166672488204363e-11
-12.122206246962625,2.6892205162649875e-11
-12.179829254149665,2.5438402397462675e-11
-12.30249726719909,1.1070172910806528e-11
-12.403826373693075,1.6306358608698513e-11
-12.52785791902992,5.622394165347987e-12
-12.617988283020916,2.257260885392779e-11
-12.76390263796949,3.6960887717025e-11
-12.787388281257725,1.778893399057488e-10
-12.90830233152914,6.465171977468857e-12
-12.984967942646325,1.7493039299004064e-11
-13.112537508982365,5.704192961507778e-12
